173.10.134.173:8081 -1
54.225.21.219:80 -1
66.35.68.145:8089 -1
192.3.89.185:8080 -1
192.227.139.227:8089 -1
192.111.146.158:7808 -1
50.57.122.25:3128 -1
173.213.96.229:7808 -1
198.24.181.73:7808 0
208.110.83.206:7808 0
184.82.95.37:80 0
72.29.4.111:7808 0
66.35.68.146:8089 0
207.238.97.13:8080 0
192.3.25.21:7808 0
208.110.83.205:7808 0
65.126.16.67:7808 0
208.92.249.53:80 0
208.92.249.124:80 0
216.240.163.69:7808 0
208.110.83.202:7808 0
204.73.37.126:80 0
198.204.238.254:8085 0
64.34.14.28:7808 0
54.227.121.84:80 0
199.30.136.117:7808 0
192.3.140.245:7808 0
208.92.249.58:80 0
67.222.132.188:7808 0
74.221.209.228:7808 0
8.22.205.79:7808 0
208.73.22.156:7808 0
198.56.208.37:7808 0
198.204.245.212:7808 0
173.213.113.111:7808 0
172.245.20.109:7808 0
199.30.136.116:8089 0
74.221.221.64:7808 0
198.148.120.31:7808 0
208.110.83.203:7808 0
184.154.110.130:7808 0
69.73.181.22:7808 0
208.92.249.119:80 0
69.197.132.80:7808 0
208.110.83.204:7808 0
208.92.249.54:80 0
184.154.85.245:7808 0
172.245.59.203:7808 0
204.93.54.15:8089 0
136.0.16.210:7808 0
198.24.181.95:7808 0
198.102.28.100:7808 0
