16318465;1095;494;150;14656001,14964834,14959574,1475335,13268243,14895113,13669634,12601016,15081750,14604941,12468816,14886321,12703762,12286675,14644277,14533705,14922903,12904696,13795835,15081738,13327250
35318443;730;5616;219;36466913,39354018,40063844,40063815,15945386,33870743,39686284,38620994,38846672,31181169,40063828,34753470,35586295,22774489,36391386,35848570,35010398
7667725;1460;792;41;5679618,384713,2977058,2925132,6687858,6521390,6340847,5073040,6324306,6174677,4510
42860558;365;130;1;47585120,49255658,35697414,37452681,46426506,22183388,48948403,48075988,47182076,49148884,45740700,48585885
43089936;365;1316;174;36466850,42129667,21646596,38503717,45613063,35090218,38187662,9120357,25918616,37049413,49816991
25111214;730;712;236;22246210,23862053,6187564,24638925,22402544,19286772,21397752,14968857,25428190,25327941
40370200;365;3350;227;25998880,7597456,43219458,46851332,31657925,42527558,40795243,43897168,35845041,39970613,46018871,46138072,46396454,28356764
17104923;1095;1721;190;14627174,12245286,12825319,10776232,13973103,1675155,9139103,12974589,14778495
41943073;365;61854;487;9428513,47492162,47872804,46839557,29636166,63143118,30539823,10578126,48445554,60187637,47603542,46800283,32481013
32111959;730;4815;113;33319936,35808513,29291523,22842535,11264905,5120748,29291538,29322863,35480562,11280118,35627802,35236635
23265316;730;1695;305;7439441,24416103,20998984,22879308,7887281,21536146,22250356,20278233,20287511,22041945,20264123,23040638,23022449
14942248;1095;566;78;4681984,9636898,11210215,8099081,11003530,4137643,8950323,7501523,3895671,13334395,12872595
21643271;1095;158;59;32334337,21069954,21133926,20567590,20843818,21069901,17123026,32137684,21122294,34096026,1277610
23032666;730;151;45;19885538,18459492,21038663,17205097,19024015,14281522,20840631,16155993,16287453,22165791
24739887;730;475;14;19422738,24749614,20814493,31143472,19825454,23721647,24127792,23687861,21028023,15100986,17768891,17980357,20371150,16080596,13059287,21964248,31183066,20695266,19482214,19824758,24771836,22544894
34275375;730;5213;89;28749920,32431105,38286402,3045713,33796678,32299249,34455534,38322922,14047399,11583182,33124176,37991889,37191893,35911327,11535806,36237375
13118131;1095;207;60;7347846,11148149,8950358,10645433,8009626,10084413,10600926,10445855
46039100;365;2741;256;49594145,53521443,50410215,52242604,51288625,53211059,51528116,49487127,52124793,48993627,51949469
41418814;365;105205;733;48361739,46405832,41988778,29180747,21471432,3051610,46153340,39731006,44376799
40300891;365;348303;2292;3051619,45744648,27710508,40366127,44359888,41602069,42745142,32715996,43955966,46966623
34958005;730;517;38;7924555,33937636,28030795,36378003,14718573,37616179,39547701,24897399,7924548
34406464;730;6233;91;23518432,36077697,36941065,15308120,35310760,38856937,17948844,22774546,38313102,31918929,28936114,16762028,31521781,25479959,9697112,37546777,36940763,36549148
39616577;365;3129;35;43821529,41128451,44668421,29636166,16660871,45379112,31478345,29824071,36507241,24250996,38009842,44711796,19129173,31815688,22125769,27001876,21834747,41188860,42721021,45326161,32997407
23625793;730;107;16;20201504,11033748,22708067,15416841,14787173,17983337,23206698,23321739,12504706,4295952,1281809,16039988,21991351,15527321,44087898,17823323,19997978,15503653
45449285;365;517;11;43516419,52125526,25304518,35799625,51716141,46260950
41844805;365;330;40;28111169,33371492,17156422,27736552,31151659,17390708,32105557,26225369,32619770,38812475,34705148
6148520;1460;806;137;2401,867452,5025910,4588038,4648406,4570313,4505706,4690001,4646068,4552054,4232344,5277204,4820154,4902204,3923418,3093733
22904902;730;54;16;18585666,20396969,16735460,20397509,12479945,20397394,15471149,14559921,17536722,19243891,19001529,21156153,19629564
26968135;730;643;63;6686849,27066499,27248458,26970860,32243875,27030196,27482710,26975796,25574558
24581473;730;320;211;11315081,24196628,17964187,10220584,19033898,24617899,16934583,23286715,10677949,21934654,14208580,19707598,21975389,22547045,23808614,6997999,46364913,9063928,11262612,24311162,11870333,16495614
34013256;730;583;65;30138712,32162116,22232307,36467016,10854540,40595597,3067824,35586161,38273971,35349045,37704728,8955812,35675163
11894857;1095;816;132;9974947,9879430,10195622,5988296,9883177,9054155,8921102,9987279,8674607,9461475,9118294,9438456,10046735,6324317,7373918
10469388;1460;36;9;4090721,444866,9022851,7791812,863589,2260488,7192746,8063211,2410621,457896,7405874,7405619,7086324,601610,7435247,3073564,8474397,8273509
7864395;1460;6807;52;4057888,7048385,11225383,12179342,6582191,614740,3402799
15827021;1095;94;55;9024354,14058852,12525797,13980168,13696745,13278698,10520140,7947214,14156399,12133236,8206173
30474323;730;487;53;33039584,23879649,31984741,12296071,33356968,32777031,23844527,27941248,33385106,16287412,14957973,23980887,31378516,33510075,15263901
40723765;365;2424;112;31886912,40596709,12704906,47376648,46808938,25889751,46138190,45521309,46166290,46724115,45284852,25390990,45276214,46689815,40706648,45619162,46096986,26732565
82411609;90;85;28;74670979,59194798,82066385,77860499,32893614,81893753
29425755;730;3090;84;31064624,32208098,31064451,27076708,32161255,30819991,28024610,23492253,21423664,28433330,16491093,31069782,31064665,18513368,31064633,30822554,31064476,31064573
42041436;365;192297;2045;45505707,44323211,45056196,45505699,35039430,46315591,35258635,15290829,10954575,2320816,10435922,44876787,44728213,12664278,21062241,21454904,13315738,34484411,9370659,37248062
42445498;365;737;71;10866658,46197164,44171919,7887281,29181075,46399956,30095509,26481367
16253022;1095;44;22;12125344,14341408,8401494,14157672,13384028,14383979,35905808,14576788,14450742,13300088,14526780
6324318;1460;1408;111;5990693,5532872,5532875,4842808,5205013,5543256,4988446
18874462;1095;376;184;229183,17483259,8269606,14209640,15836060,14072748,12895695,24481680,17805225,8955285,16695701,17851977,10408408,17340283,12157020,4910909,17221627
13303906;1095;45;9;11258304,6222976,443976,11286890,10389589,11617943,10617114,10494971
23461986;730;297;12;15672064,15171652,28669350,21590503,22604776,7666828,8218607,880144,14939569,22122322,16834959,21266356,9128248,23099837,1010107,12269564,2646173
39059554;365;97939;715;39414336,31413027,45264532,44100167,42944296,32644137,37003530,36466919,40731020,36389362,39310184,47254546,26844596,44692553,42858263,36389364,45280379,56213596,44692510,48244319
