304888;0;94169;7611;2;0;2;0;1088
937132;0;2;0;0;0;0;0;1
263155;7;2166766;79064;4;2;4;37;6826
36853;9;991701;88241;10;5;2;46;5373
90272;24;10270535;513586;17;15;4;234;22116
229916;0;263178;38505;4;1;0;0;2717
143387;5;68773;6446;0;0;0;11;1092
203036;0;6561;1183;0;0;0;0;842
141283;0;977714;57216;0;1;0;0;3448
614865;0;1386565;139269;22;15;19;1;5883
491762;0;4391286;363945;2;2;0;47;20092
189316;0;5341342;176121;17;16;15;3;10662
152595;6;1926384;130856;1;2;2;173;7718
113658;0;0;0;0;0;0;0;11
333505;3;807351;184873;5;4;5;12;9349
96640;0;470631;80277;0;0;0;0;7046
87188;3;3499773;179228;5;4;10;18;8421
102098;0;204249;38598;3;0;0;0;2899
169892;0;93449;14616;1;1;1;25;1432
207358;2;827578;86733;10;13;9;6;6865
299473;0;107771;11222;0;0;0;0;807
264476;0;325861;35367;9;8;4;0;3917
201895;0;465319;44031;2;0;1;0;2943
260671;0;170533;40923;6;4;3;0;2670
109364;5;660676;68037;5;2;1;15;5938
235235;0;34837;7105;1;2;1;0;661
539356;1;26987;6277;1;1;2;1;812
191243;0;424503;24771;0;0;1;0;2127
192218;0;530943;36354;0;2;1;0;4001
263199;0;275110;63734;12;12;14;0;3827
25668;0;269532;41786;0;0;0;0;3506
585351;0;96802;16428;2;1;2;0;1245
777;0;366422;83708;1;2;3;1;4860
427343;0;59170;11159;0;0;0;0;844
366188;0;5199;780;0;1;0;0;133
117657;0;56522;6169;0;0;0;0;2309
207596;0;1399;25;0;0;0;0;38
141788;0;37764;4248;1;0;0;0;723
176009;0;147251;9811;1;0;0;0;1000
645557;0;61516;15499;3;2;5;1;1645
83205;0;179855;16644;1;0;1;0;1580
179609;0;233044;29517;0;0;0;0;2355
205731;0;54727;4298;2;0;0;0;580
1655013;0;1710;1005;0;0;0;0;143
148328;0;58250;4762;0;0;0;0;921
214335;0;69;12;0;0;0;0;322
404701;0;57859;29602;8;8;8;44;1774
418590;0;30938;4048;0;1;0;0;947
192784;0;7334;1018;0;0;0;0;139
698966;0;401188;88154;24;18;18;0;4514
236544;0;130942;7029;0;0;0;0;1147
315724;0;30243;2286;0;0;1;0;284
15644;0;106496;21225;0;0;1;0;1773
80576;0;5849;781;0;0;0;0;142
241247;0;28580;2507;0;0;0;0;323
789970;0;11228;2885;0;0;0;0;362
22575;0;133711;10563;4;2;3;0;1344
218872;0;0;0;0;0;0;0;2
234589;0;153758;14646;1;1;1;0;1370
1771152;0;1974022;146534;11;5;10;2;5337
945412;1;273577;26945;2;0;0;4;1898
629020;3;118139;18150;2;5;2;15;1025
575819;69;3247230;262005;16;21;24;1367;8081
670143;112;2234089;188489;68;56;58;1814;9469
2283228;0;2982161;163256;4;7;6;0;4746
542169;150;2065971;230516;55;51;45;1356;9250
1699512;0;0;0;0;0;0;0;1
1416913;0;277;6;0;0;0;0;11
731728;0;285625;45144;2;3;5;7;3203
716896;1;127308;8729;2;1;1;2;1243
801980;50;2729010;117002;46;59;42;1784;9243
1481746;0;838003;65260;1;0;0;0;3625
2479716;3;606906;18836;0;0;0;19;1808
227566;0;12987971;552122;5;6;8;0;19481
1128162;0;0;0;0;0;0;0;0
644279;0;673055;63670;0;0;0;0;5787
1339915;0;249241;7294;0;2;1;0;872
2880173;0;0;0;0;0;0;0;0
1037460;0;2056311;95293;3;3;3;1;5325
450508;10;2248157;115450;0;0;2;56;9087
92440;0;92640;4782;0;0;0;0;560
46668;0;733265;111442;0;0;0;0;4320
956608;0;0;0;0;0;0;0;0
1672662;0;19307;884;0;0;0;0;293
135987;0;275343;18394;1;0;1;0;1973
1848296;131;489611;22390;0;0;1;726;2135
186181;0;836851;98908;9;10;4;1;5505
320341;206;831254;71561;6;5;7;1319;3813
619311;0;675878;78789;16;22;12;0;2610
2606464;4;58410;5552;0;0;0;43;466
2108207;0;68360;2699;1;0;0;4;338
1454808;0;27640;2563;3;0;2;1;270
982669;2;270073;4366;0;0;0;3;649
370768;0;88110;1499;0;0;0;0;281
174469;0;2347414;204049;21;26;18;7;15421
249869;0;119705;4112;0;0;0;0;398
748206;0;59839;12581;5;4;4;0;823
1116473;0;671;46;0;0;0;0;6
413600;2;565131;35206;2;3;3;14;2375
2361738;20;766571;40685;6;6;1;125;2822
300908;0;114670;32007;3;5;4;0;1294
1454494;0;2973404;96845;11;8;9;0;5696
1143863;0;2058;62;0;0;0;0;25
580813;0;0;0;0;0;0;0;0
1998743;7;4581052;70569;6;5;7;72;6636
176738;0;16368;2182;0;0;0;1;392
407309;0;360223;23678;1;1;2;0;2091
125946;8;429133;27421;0;0;0;126;2144
204236;0;0;0;0;0;0;0;5
477684;0;231;11;0;0;0;0;10
1451437;0;4557964;104643;22;13;21;0;6858
684063;0;0;0;0;0;0;0;0
1852025;6;1220728;77831;5;8;11;29;8957
827358;0;3976503;292910;20;29;28;0;19905
400699;1;134808;29613;1;0;3;33;2542
256371;0;478460;45970;5;9;8;0;3788
465544;5;994654;74803;17;14;9;133;4503
1747967;460;1212052;25528;2;0;0;20260;3542
1820434;0;1397548;25500;5;6;4;12;3140
85441;0;880849;89950;1;4;2;1;4986
2154984;14;1009044;13620;0;0;0;114;2044
1500724;2;1562132;113228;3;3;3;6;4289
1109697;1;689188;63549;1;2;5;9;3454
2858;0;479502;34676;2;2;1;12;2376
811238;0;297949;27124;0;1;2;0;2703
1691816;1;7821181;162533;9;13;11;35;12336
1472139;4;2804851;99074;4;10;6;28;6849
2091282;0;2118803;86966;15;19;15;13;5962
458823;0;438223;33487;8;4;4;1;3280
1130524;0;5905;1467;0;0;0;0;161
1473239;17;1614016;42684;4;2;3;118;3456
111693;0;8065175;605098;9;6;7;16;15937
935306;0;3304867;167154;36;26;13;34;8718
452416;0;2939214;121282;16;22;16;1;7955
794014;0;1560526;261884;28;28;34;2;8044
313054;3;239946;28766;2;3;1;26;3382
564461;0;1178;0;0;0;0;0;2
2198226;17;224798;9851;0;0;0;77;1269
1502174;7;2586859;160160;32;22;15;81;8232
1155867;7;704409;42966;11;10;11;88;3044
904753;9;1442485;80239;3;2;3;66;6518
1332521;49;6499679;146652;8;5;5;1263;9279
813902;1;1184185;54632;8;9;17;16;4436
877853;13;328249;38595;0;1;0;103;3129
1019924;0;219043;16637;1;3;2;0;1431
1011548;0;7;0;0;0;0;0;8
177966;0;820066;75117;45;69;56;0;4083
740388;0;810538;63687;7;10;5;0;3904
350269;6;776637;49555;21;20;20;36;4556
469754;3;1281165;95108;9;8;15;71;5936
718679;11;1324734;194654;22;26;36;104;7101
1499114;0;18461;517;0;0;0;0;178
2382315;0;45274;3428;0;0;0;0;641
1544205;5;741859;54579;15;17;14;90;3469
508026;0;0;0;0;0;0;0;0
1236569;0;0;0;0;0;0;0;0
821025;14;408727;18812;6;11;7;170;1756
745685;4;3911939;69504;4;2;5;30;5093
802450;0;919;3;0;0;0;0;1
432072;125;2189532;109710;25;15;22;890;7222
1983229;0;2279444;72406;4;3;7;0;4109
937178;7;51290;4548;0;2;1;49;742
1958777;0;2855974;93085;0;1;2;8;4457
1591717;0;3859511;234929;14;17;17;0;7760
2246845;3;1870489;37819;5;6;4;41;3303
2098224;1;323942;28200;0;0;0;37;1765
